Opioid Data Dashboard Indicator,Data Year,Group,Characteristics,Rate Rate (95% CI),Data Source
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2017,Race and Ethnicity,White NH,185,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2017,Region,NYS Excl NYC,214.3,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2017,Region,New York City,149.3,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2017,Sex,Female,164.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2017,Sex,Male,209.1,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2017,Total,New York State,186.3,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2018,Age Group,0-17 years,123.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2018,Age Group,18-24 years,256.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2018,Age Group,25-44 years,246.5,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2018,Age Group,45-64 years,185.2,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2018,Age Group,65+ years,119.1,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2018,Race and Ethnicity,Asian/PI NH,39.2,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2018,Race and Ethnicity,Black NH,201.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2018,Race and Ethnicity,Hispanic,139,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2018,Race and Ethnicity,White NH,177.2,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2018,Region,NYS Excl NYC,204.9,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2018,Region,New York City,157.6,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2018,Sex,Female,163.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2018,Sex,Male,207,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2018,Total,New York State,184.6,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2019,Age Group,0-17 years,121.1,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2019,Age Group,18-24 years,235.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2019,Age Group,25-44 years,246.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2019,Age Group,45-64 years,187.2,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2019,Age Group,65+ years,121.9,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2019,Race and Ethnicity,Asian/PI NH,36.3,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2019,Race and Ethnicity,Black NH,212.6,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2019,Race and Ethnicity,Hispanic,142.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2019,Race and Ethnicity,White NH,168.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2019,Region,NYS Excl NYC,196.5,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2019,Region,New York City,165.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2019,Sex,Female,161,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2019,Sex,Male,206.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2019,Total,New York State,183.3,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2020,Age Group,0-17 years,102,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2020,Age Group,18-24 years,225.3,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2020,Age Group,25-44 years,245.8,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2020,Age Group,45-64 years,186.4,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2020,Age Group,65+ years,115.2,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2020,Race and Ethnicity,Asian/PI NH,28.6,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2020,Race and Ethnicity,Black NH,215.2,Data Source: SPARCS Data as of July 2024
"All emergency department visits (including outpatients and admitted patients) involving any drug overdose, crude rate per 100,000 population",2020,Race and Ethnicity,Hispanic,138,Data Source: SPARCS Data as of July 2024
